permno,date,ticker,mean_recommendation,recommendation_change,num_recommendations
87267,2022-12-31,BLK,2.0,0.0,1
87267,2023-01-31,BLK,2.0,0.0,1
87267,2023-04-30,BLK,3.0,1.0,1
87267,2023-07-31,BLK,2.0,-1.0,2
87267,2023-08-31,BLK,2.0,0.0,1
87267,2023-12-31,BLK,2.5,0.5,2
87267,2024-03-31,BLK,2.0,-0.5,1
87267,2024-08-31,BLK,2.0,0.0,1
87267,2024-09-30,BLK,2.0,0.0,1
87267,2024-10-31,BLK,3.0,1.0,1
87267,2024-12-31,BLK,1.5,-1.5,2
87299,2020-01-31,AKAM,1.0,,1
87299,2020-03-31,AKAM,3.0,2.0,1
87299,2020-04-30,AKAM,2.5,-0.5,4
87299,2020-05-31,AKAM,1.0,-1.5,1
87299,2020-07-31,AKAM,3.0,2.0,1
87299,2021-02-28,AKAM,3.0,0.0,2
87299,2021-03-31,AKAM,2.5,-0.5,2
87299,2021-06-30,AKAM,2.0,-0.5,1
87299,2021-08-31,AKAM,2.5,0.5,2
87299,2021-10-31,AKAM,2.5,0.0,2
87299,2021-11-30,AKAM,2.5,0.0,2
87299,2021-12-31,AKAM,3.0,0.5,2
87299,2022-01-31,AKAM,2.0,-1.0,3
87299,2022-06-30,AKAM,3.0,1.0,1
87299,2022-07-31,AKAM,3.0,0.0,1
87299,2022-08-31,AKAM,3.0,0.0,1
87299,2022-10-31,AKAM,4.0,1.0,1
87299,2023-01-31,AKAM,5.0,1.0,1
87299,2023-02-28,AKAM,3.0,-2.0,2
87299,2023-04-30,AKAM,1.5,-1.5,2
87299,2023-09-30,AKAM,2.0,0.5,2
87299,2023-10-31,AKAM,3.0,1.0,1
87299,2023-11-30,AKAM,2.0,-1.0,1
87299,2023-12-31,AKAM,2.0,0.0,1
87299,2024-02-29,AKAM,4.0,2.0,1
87299,2024-05-31,AKAM,2.0,-2.0,1
87299,2024-07-31,AKAM,2.0,0.0,3
87299,2024-08-31,AKAM,1.5,-0.5,2
87299,2024-11-30,AKAM,2.0,0.5,1
87299,2024-12-31,AKAM,1.5,-0.5,2
87432,2020-01-31,A,2.0,,1
87432,2020-02-29,A,3.0,1.0,1
87432,2020-07-31,A,4.0,1.0,1
87432,2020-09-30,A,3.0,-1.0,1
87432,2020-10-31,A,3.0,0.0,1
87432,2020-11-30,A,1.5,-1.5,2
87432,2020-12-31,A,2.0,0.5,1
87432,2021-01-31,A,3.0,1.0,1
87432,2021-02-28,A,1.0,-2.0,1
87432,2021-04-30,A,2.0,1.0,2
87432,2021-09-30,A,3.0,1.0,1
87432,2021-11-30,A,2.0,-1.0,1
87432,2022-05-31,A,2.5,0.5,2
87432,2022-08-31,A,2.0,-0.5,1
87432,2023-01-31,A,2.0,0.0,1
87432,2023-02-28,A,3.0,1.0,1
87432,2023-05-31,A,3.0,0.0,2
87432,2023-07-31,A,3.0,0.0,3
87432,2023-08-31,A,2.6666666666666665,-0.3333333333333335,3
87432,2023-09-30,A,3.0,0.3333333333333335,1
87432,2023-12-31,A,2.0,-1.0,2
87432,2024-02-29,A,4.0,2.0,1
87432,2024-03-31,A,3.0,-1.0,1
87432,2024-04-30,A,3.0,0.0,1
87432,2024-05-31,A,4.0,1.0,1
87432,2024-06-30,A,3.0,-1.0,2
87432,2024-07-31,A,3.0,0.0,1
87432,2024-08-31,A,2.0,-1.0,1
87445,2020-07-31,TDY,1.0,,1
87445,2020-08-31,TDY,1.0,0.0,1
87445,2020-10-31,TDY,3.0,2.0,1
87445,2021-05-31,TDY,1.0,-2.0,1
87445,2021-06-30,TDY,3.0,2.0,1
87445,2021-07-31,TDY,1.0,-2.0,1
87445,2021-10-31,TDY,2.0,1.0,1
87445,2021-12-31,TDY,4.0,2.0,1
87445,2022-12-31,TDY,2.5,-1.5,2
87445,2023-01-31,TDY,3.0,0.5,1
87445,2023-08-31,TDY,2.0,-1.0,1
87445,2023-10-31,TDY,2.0,0.0,2
