permno,date,ticker,weighted_mean_recommendation,recommendation_change,unweighted_mean_recommendation,unweighted_change,num_recommendations,effective_recommendation_count
42906,2022-06-30,HBAN,0.0625,-1.1565136542044754,0.5,-1.5,2,1.0625
14882,2022-06-30,CZR,-1.2305030340114569,-1.1376283909403977,-1.0,0.0,2,1.2305030340114569
79103,2022-06-30,ORLY,-1.3585854963958601,-1.1085854963958601,-1.0,1.0,2,1.3585854963958601
62308,2022-06-30,GL,-0.22643091606597668,-1.0740542092904173,-1.0,-1.3333333333333333,1,0.22643091606597668
65875,2022-06-30,BEL,-0.7429971445684742,-1.0477505581195932,-1.0,-2.0,1,0.7429971445684742
13901,2022-06-30,MO,1.018939122296895,1.018939122296895,0.6666666666666666,0.6666666666666666,3,1.5709838791338013
76614,2022-06-30,REGN,0.1857492861421186,1.0060846421497565,2.0,4.0,1,0.0928746430710593
19350,2022-06-30,DE,-1.0,-1.0,-1.0,-1.0,1,1.0
80080,2022-06-30,EMN,0.0,1.0,0.0,1.0,2,0.9929971445684742
84788,2022-07-31,AMZN,-2.5138287987011103,-2.5138287987011103,-1.3333333333333333,-1.3333333333333333,3,1.6081051344372037
90373,2022-07-31,DLR,0.0,2.2264309160659765,0.0,1.5,1,0.336475048158089
59408,2022-07-31,BAC,-0.13801118920922653,1.8471846677812431,-1.0,0.0,1,0.13801118920922653
21207,2022-07-31,NEM,-1.828520481306713,-1.828520481306713,-1.5,-1.5,2,1.2190136542044754
13511,2022-07-31,PANW,-2.0,-1.8142507138578814,-2.0,-1.0,1,1.0
15291,2022-07-31,ETSY,0.5520447568369062,1.7903985285357602,0.3333333333333333,1.3333333333333333,3,1.2600183772792324
89138,2022-07-31,BG,-0.2611121671501038,1.7388878328498962,-1.5,0.5,2,0.17699340511058156
22293,2022-07-31,GLW,-1.6718754863364287,-1.6718754863364287,-2.0,-2.0,2,0.8359377431682143
91611,2022-07-31,FSLR,-1.640670712015276,-1.640670712015276,-2.0,-2.0,1,0.820335356007638
17307,2022-07-31,VICI,-1.682375240790445,-1.625767511773951,-1.5,-0.5,2,1.009425144474267
86339,2022-07-31,CCI,-0.336475048158089,1.601024951841911,-1.0,-0.6666666666666667,1,0.336475048158089
14882,2022-07-31,CZR,0.336475048158089,1.5669780821695458,0.5,1.5,2,0.4888517549336484
42906,2022-07-31,HBAN,-1.4859942891369484,-1.5484942891369484,-1.0,-1.5,2,0.8455390640694289
87657,2022-07-31,EW,-0.15237670677555945,1.5475102960779599,-0.5,1.1666666666666667,2,0.9727120627831974
86868,2022-07-31,GS,-0.27602237841845306,1.5354249501093604,-1.0,1.0,1,0.27602237841845306
14593,2022-07-31,AAPL,0.6095068271022377,1.5152304913661445,1.0,1.5,1,0.6095068271022377
22509,2022-07-31,PPG,0.0,1.4859942891369484,0.0,1.0,1,0.0928746430710593
90520,2022-07-31,CE,0.0,-1.4859942891369484,0.0,-0.6666666666666666,1,0.16823752407904452
83621,2022-07-31,ANSS,-1.2190136542044754,-1.3713903609800349,-2.0,-3.0,1,0.6095068271022377
89525,2022-07-31,CMCSA,1.3465103511702026,1.3465103511702026,0.0,0.0,5,3.312414287294343
91926,2022-07-31,DAL,0.0,1.3195795558546208,0.0,1.3333333333333333,1,0.20508383900190952
61241,2022-07-31,AMD,-0.18574928614211855,1.2671125459898347,-0.5,0.5,2,0.3714985722842371
60506,2022-07-31,PCAR,-1.2190136542044754,-1.2190136542044754,-2.0,-2.0,1,0.6095068271022377
79094,2022-07-31,JBL,-1.2190136542044754,-1.2190136542044754,-2.0,-2.0,1,0.6095068271022377
84767,2022-07-31,ARE,-1.2190136542044754,-1.2190136542044754,-2.0,-2.0,1,0.6095068271022377
79547,2022-07-31,EQR,0.3047534135511189,1.2104770778150256,1.0,2.0,1,0.3047534135511189
76226,2022-07-31,CBS,1.2956968835245097,1.1824814254915215,0.75,-1.25,4,2.1160322395321476
59459,2022-07-31,SPC,-1.1040895136738125,-1.1730951082784258,-2.0,-2.5,1,0.5520447568369062
15408,2022-07-31,KHC,-1.6219225710508092,-1.1690607389188559,-1.0,0.0,3,1.6219225710508092
91041,2022-07-31,LYV,-0.07618835338777971,1.1428253008166958,-1.0,0.0,1,0.07618835338777971
13407,2022-07-31,FB,1.1057318049083245,1.1057318049083245,0.3333333333333333,0.3333333333333333,6,3.409040992714325
92614,2022-07-31,AWK,0.0,1.1040895136738125,0.0,2.0,1,0.20508383900190952
81696,2022-07-31,DISH,0.0,1.1025419195009547,0.0,0.6666666666666666,1,0.0928746430710593
10696,2022-07-31,FI,-1.0831177743199971,-1.0831177743199971,-1.0,-1.0,3,1.063783221460206
36468,2022-07-31,SHW,-0.3047534135511189,-1.0477505581195932,-0.6666666666666666,-1.6666666666666665,3,0.41348887392566325
77037,2022-07-31,ODFL,0.3047534135511189,1.0477505581195932,2.0,2.5,1,0.15237670677555945
23536,2022-07-31,WEC,0.336475048158089,1.009425144474267,1.0,2.0,1,0.336475048158089
86580,2022-08-31,NVDA,0.0,2.391717953400855,0.0,1.0,1,0.10254191950095473
15488,2022-08-31,PYPL,-2.2050838390019094,-2.2050838390019094,-1.0,-1.0,3,1.2675838390019094
80563,2022-08-31,PENN,0.0,1.820335356007638,0.0,1.0,1,0.07618835338777971
32803,2022-08-31,HFC,-2.0,-1.7735690839340232,-2.0,-1.0,1,1.0
