symbol,company,year_month,signal,weighted_sentiment_score,avg_sentiment_score,article_count,positive_count,negative_count,neutral_count,effective_article_count
AMGN,Amgen,2019-01,sell,-0.4741,-0.496,2,0,2,0,0.64
AMGN,Amgen,2019-02,sell,-0.4471,-0.5451,1,0,1,0,0.82
AMGN,Amgen,2019-03,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-08,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-10,sell,-0.8671,-0.9574,1,0,1,0,0.91
AMGN,Amgen,2019-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2019-12,hold,-0.0565,-0.2495,1,0,0,1,0.23
AMGN,Amgen,2020-01,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-02,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-03,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-08,buy,0.2011,-0.083,2,1,1,0,1.5
AMGN,Amgen,2020-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-10,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2020-12,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-01,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-02,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-03,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-08,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-10,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2021-12,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-01,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-02,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-03,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-08,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-10,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2022-12,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2023-01,hold,0.0,0.0,0,0,0,0,0.0
